Description,CPV
Podophyllum resin,33600000
Pyrithione zinc,33600000
Resorcinol,33600000
Selenium sulfide,33600000
Tazarotene,33600000
Tretinoin,33600000
Crystallized trypsin,33600000
Dimethicone,33600000
Calcipotriene,33600000
Anthralin or dithranol,33600000
Topical camphor preparations,33600000
Topical urea preparations,33600000
Topical turpentine oil preparations,33600000
Lactic acid,33600000
Saliva substitute solution,33600000
Niacinamide,33600000
Acitretin,33600000
Isotretinoin,33600000
Adapalene,33600000
Fusidic acid,33600000
Aluminum acetate,33600000
Hamamelis or witch hazel,33600000
Zinc acetate,33600000
Ammonium alum,33600000
Tannic acid,33600000
Butaphosphan,33600000
Ractopamine,33600000
Oriental rugs,39533000
Area rugs,39533000
Wool rugs,39533000
Cotton rugs,39533000
Synthetic rugs,39533000
Braided rugs,39533000
Bath mats,39532000
Door mats,39532000
Decorative mats,39532000
Anti fatigue mats,39532000
Rubber or vinyl mats,39532000
Chair mat,39532000
Carpet protector,39531000
Fiberglass mat,39532000
Floor cushion,39516110
Quilts,39511000
Comforters,39511100
Comforter covers,39512000
Mattress covers,39512300
Pillows,39516120
Mattress pads,39143110
Featherbeds,39143110
Blankets,39511100
Sheets,39512100
Dust ruffles,39512000
Duvets,39512000
Pillow cases,39512500
Bed spreads,39510000
Dish towels,39514000
Napkins,39514000
Table runners,39513000
Table cloths,39513100
Domestic oven mits or pot holders,39221000
Place mats,39532000
Table skirts,39513000
Clips for table skirts,39220000
Bath towels,39514100
Beach towels,39514100
Wash cloths,39525800
Hand towels,39514100
Face towel,39514100
Curtains,39515100
Draperies,39515100
Venetian blinds,39515430
Roll up shades,39290000
Interior shutters,44221400
Vertical blinds,39515440
Valances,39515300
Curtain rods,44115000
Rod finials,44115000
Curtain rings or clips,44115000
Domestic refrigerators,39711130
Domestic microwave ovens,39711362
Domestic garbage disposals,39720000
Domestic ranges,39720000
Domestic dish washers,39713100
Domestic freezers,39711120
Domestic upright freezers,39711123
Domestic chest freezers,39711121
Domestic combination refrigerator freezers,39711110
Domestic portable air conditioners,39717200
Domestic juicers,39711000
Domestic waffle irons,39711350
Domestic electric can openers,39711500
Domestic food processors,39711200
Domestic trash compactors,39713300
Domestic deep fryers,39721100
Domestic popcorn poppers,39721100
Domestic bread making machines,39721100
Domestic convectional ovens,39711360
Domestic mixers,39711000
Domestic toaster ovens,39711360
Domestic toasters,39711330
Domestic electrical kettles,39710000
Domestic blenders,39711210
Domestic hot plates,39711430
Domestic coffee makers,39711310
Domestic electric knives,39241100
Domestic electric woks,39710000
Domestic coffee grinders,39711000
Parts of dishwashing machines,42971000
Domestic food choppers,39711000
Domestic electric skillets,39711000
Domestic electric griddles,39711000
Domestic electric sandwich maker,39710000
Domestic indoor electric grills,39710000
Domestic pizelle or cookie maker,39710000
Domestic crock pot,39710000
Domestic use food warmers,39710000
Domestic tea makers,39711320
Vacuum Bag Sealer,39360000
Domestic baby bottle sterilizer,39710000
Domestic meat grinder,39710000
Domestic egg boiler,39710000
Domestic multi cooker,39721100
Domestic cooktop,39721100
Domestic kitchen hood,18443330
Domestic pepper and salt grinder or mill,39720000
Domestic pierrade,39710000
Domestic raclette,39710000
Domestic yogurt maker,39710000
Domestic steam oven,39711360
Domestic rotisserie oven,39711360
Domestic electric rice cooker,39720000
Domestic kimchi refrigerator,39711130
Domestic clothes washers,39713210
Domestic tumble dryers,39713210
Domestic clothing irons,39713500
Footwear dryers,39713210
Laundry hampers,39291000
Laundry baskets,39291000
Fabric wrinkle removing compounds,39831000
Garment steamer,39713000
Domestic stain removing device,39713000
Domestic built in ironing center,39713000
Washboard,39831000
Domestic electric toothbrushes,33711710
Domestic hair dryers,39712210
Domestic electric razors,33721000
Parts of shavers or hair removers,33720000
Nail dryers,39712000
Towel dryer,39713210
Domestic sewing machines,39220000
Domestic space heaters,39710000
Domestic electric blankets,39143114
Domestic electric fan,39717100
Folding screen,39515000
Fish basin or tank,44611000
Folding fan,39717100
Domestic disposable cookware,39220000
Domestic disposable dishes,39221220
Domestic disposable flatware,39220000
Domestic disposable cups or glasses or lids,39220000
Domestic disposable stirrers,39220000
Domestic disposable food containers,39221130
Domestic disposable drinking straws,39220000
Domestic rolling pins,39221100
Domestic mixing bowls,39221240
Domestic graters,39221100
Domestic strainers or colanders,39221100
Domestic can or bottle openers,39711500
Domestic cutting boards,39221100
Domestic measuring cups,39221100
Basters or basting brushes,39221100
Vegetable peeler,39221100
Cookie cutters,39221100
Domestic kitchen tongs,39221100
Domestic kitchen wire whips,39221100
Domestic food scrapers,39221100
Domestic cooling racks,39221100
Domestic pizza cutters,39221100
Domestic kitchen spatulas,39221100
Domestic wooden spoons,39221100
Domestic wooden oven paddle,39221100
Domestic pastry blender,39221100
Domestic sifter,39221100
Domestic cookie stampers,39221100
Domestic pastry decorating gun,39221100
Domestic cookie press,39221100
Domestic knife sharpeners,39221100
Domestic biscuit cutters,39221100
Domestic mandolin,39221100
Domestic garlic press,39221100
Domestic egg slicer,39221100
Domestic egg separator,39221100
Domestic cheese slicer,39221100
Domestic food mill,39221100
Domestic kitchen funnels,39221100
Domestic garnishing tools,39221100
Domestic apple corer,39221100
Domestic melon or butter baller,39221100
Domestic food scoops,39221100
Domestic pumpkin carver,39221100
Domestic vegetable brush,39221100
Domestic egg beater,39221100
Domestic pasta drying rack,39221100
Domestic whipped cream maker,39221100
Domestic dough press,39221100
Domestic ravioli maker,39221100
Domestic mist or trigger sprayers,39221100
Domestic pastry brush,39221100
Domestic kitchen or diet scales,39220000
Domestic kitchen timers,39220000
Domestic kitchen or food thermometers,39220000
Domestic bread slicing guide,39220000
Domestic drain boards,39220000
Domestic measuring spoons,39220000
Lemon squeezers,39220000
Oyster knives,39241100
Potato mashers,39220000
Salad spinners,39220000
Avocado slicer,39312000
Culinary torch,39225000
Dough knife,39221000
Manual meat tenderizer,39221000
Spaghetti spoon,39223100
Bottle splash guard,39221100
Domestic serving utensils,39221180
Domestic knives,39241120
Domestic forks,39223200
Domestic spoons,39223100
Spoon rests,39221000
Chopsticks,39221100
Domestic cutlery set,39221000
Butter spreaders,39221000
Flatware set,39221000
Domestic dutch ovens,39711360
Domestic frying pans,39221000
Domestic saucepans,39221000
Domestic kettles,39221000
Domestic woks,39221000
Domestic steamers,39221000
Domestic stock pots,39221000
Domestic pressure cookers,39221000
Domestic saute pans,39221000
Domestic chafing dishes,39221000
Domestic griddles,39221000
Domestic double boilers,39221000
Domestic splatter shield,39221000
Domestic muffin pans,39221000
Domestic baking pans,39221000
Domestic cake or pie pans,39221000
Domestic roasting pans,39221000
Domestic baking sheets,39221000
Domestic broiling pans,39221000
Domestic baking molds,39221000
Domestic pizza pans,39221000
Domestic tortilla bakers,39221000
Domestic pitchers,39221000
Domestic food storage containers,39221000
Domestic punch bowls,39221000
Domestic plates,39221000
Domestic saucers,39221000
Domestic trays or platters,39221000
Domestic serving bowls,39221000
Domestic tea or coffee pots,39221000
Domestic soup or salad bowls,39221000
Domestic vacuum flasks,39221000
Inners for vacuum flasks,39221000
Ice trays,39221000
Spice or salt or pepper shakers,39221000
Carafe sets,39221000
Domestic cake plate with dome,39221000
Domestic dinner set,39221000
Domestic coffee or tea cups,39221000
Domestic drinking glasses,39221000
Domestic mugs,39221000
Domestic stemware,39221000
Shelf liner,39525000
Dish drainer,39221000
Soap dispensing brush,39224000
Domestic oven cleaner,39224000
Cassette players or recorders,32331200
Televisions,32324000
Clock radios,32344280
Laser disc players,32333400
Portable stereo systems,32342412
Home stereo or theater system,32342412
Radios,32344280
Loudspeakers,32342000
Combination television VHS and DVD recorder,32330000
Headphones,32342100
Compact disk players or recorders,32333000
Digital video disk players or recorders,32333000
Equalizers,32333000
Global positioning system receivers,38112100
Microphones,32341000
Multimedia receivers,32344000
Radio frequency scanners,31712000# 32230000 
Radio frequency transmitters or receivers,32230000
Radio receivers,32344200
Remote control,38820000
Satellite receivers,32530000
Subwoofers,32342412
Video cassette players or recorders,32330000
Radio phonographs,32344000
Karaoke systems,32342300
Megaphones,32343200
Integrated circut IC chip recorder,32331500
Digital voice recorders,32342450
Minidisc players or recorders,32330000
Magnetic storage media erasers,32351000
Video tape rewinders,32330000
Combination digital video disc DVD video cassette disc VCD compact disc CD player,32330000
Video switchers,32351000
Audio switchers,32351000
Plasma screens,32351200
MP3 players or recorders,32331600
Video or audio cassette erasers,32351000
Digital video recorders,32333100
Television tuners,32324500
Audio amplifier,32343000
Audio turntable,32331000
Digital picture frame,32333300
Personal video recorder PVR,32333100
Wireless microphone and instrument amplification system,32343000#32341000
Light receiver,32344000
Blu ray video disc player or recorder,32333100
Cassette storage,32323300
Audio or video head cleaners,32351000
Compact video cassette adapter,32351000
Headphone jack adapters,32351000
Portable media player accessories,32351000
Speaker enclosure,32340000
Vinyl record storage device,30234000
SCART splitter box,32322000
Audio turntable cartridge and pickup,32322000
Loud speaker stand,39150000
Microphone stand,39150000
Hanging toiletry organizer or shelf,39150000
Bathroom or toilet mirror,39299300
Boys slacks or trousers or shorts,18234000
Mens slacks or trousers or shorts,18234000
Girls slacks or trousers or shorts,18234000
Womens slacks or trousers or shorts,18234000
Infants slacks or trousers or shorts,18234000
Boys shirts,18332000
Mens shirts,18332000
Girls shirts or blouses,18332000
Womens shirts or blouses,18332000
Infants shirts or blouses,18332000#18411000
Boys sweaters,18330000
Mens sweaters,18330000
Girls sweaters,18330000
Womens sweaters,18330000
Infants sweaters,18330000
Boys coats or jackets,18223200
Mens coats or jackets,18223200
Girls coats or jackets,18223200
Womens coats or jackets,18223200
Infants coats or jackets,18223200#18411000
Boys suits,18222100
Mens suits,18222100
Girls suits,18222100
Womens suits,18222100
Infants suits,18222100#18411000
Girls dresses or skirts or saris or kimonos,18232000
Womens dresses or skirts or saris or kimonos,18232000
Infants dresses or skirts or saris or kimonos,18232000
Boys overalls or coveralls,18114000
Mens overalls or coveralls,18114000
Girls overalls or coveralls,18114000
Womens overalls or coveralls,18114000
Infants overalls or coveralls,18114000
Boys folkloric clothing,18230000
Mens folkloric clothing,18230000
Girls folkloric clothing,18230000
Womens folkloric clothing,18230000
Infants folkloric clothing,18230000#18411000
Undershirts,18332000
Slips,18311000
Underpants,18312000
Brassieres,18321000
Infant diapers,33750000
Adult diapers,33750000
Body shaping garments,33750000
Diaper liners,33750000
Breast form,18321000
Breast form cover,18321000
Stockings,18315000
Socks,18317000
Panty hose,18313000
Tights,18316000
Belts or suspenders,18425000
Ties or scarves or mufflers,18423000# 18422000
Hats,18441000
Gloves or mittens,18424000
Umbrellas,39295200
Sweat bands,37442810
Clothing hangers,39136000
Armbands,18000000
Garters,18410000#18000000
Tassles,18410000#18000000
Bandannas,18410000#18000000
Handkerchiefs,18421000
Headbands,18443100
Pocket protectors,30000000
Button covers,18451100
Caps,18443340
Tie holders,18423000
Chevrons,18420000
Gorgets,18420000
Shoulder boards or epaulettes,39561142
Boys pajamas or nightshirts or robes,18318100
Mens pajamas or nightshirts or robes,18318100
Girls pajamas or nightshirts or robes,18318100
Womens pajamas or nightshirts or robes,18318100
Infants pajamas or nightshirts or robes,18318100
Bath robes,18314000
Military uniforms,35811300
Customs uniforms,35810000#18110000
Police uniforms,35811200
Institutional food preparation or service attire,18410000
School uniforms,18410000
Security uniforms,35810000#18110000
Doctors coat,18110000
Nurses uniforms,18110000
Ambulance officers uniforms,18110000
Corporate uniforms,18222000
Salon smocks,18410000
Paramedic uniforms,18110000
Ushers uniforms,18110000
Judicial robe,18400000
Prison officer uniform,18110000
Prisoner uniform,18410000
Mens swimwear,18412800
Womens swimwear,18412800
Boys swimwear,18412800
Girls swimwear,18412800
Infants swimwear,18412800
Womens athletic wear,18412000
Mens athletic wear,18412000
Boys athletic wear,18412000
Girls athletic wear,18412000
Mens tshirts,18331000
Mens waistcoats,18235400
Disposable work coat,18224000
Mens boots,18815000
Womens boots,18815000
Boys boots,18815000
Girls boots,18815000
Infants boots,18815000
Mens shoes,18800000
Womens shoes,18800000
Boys shoes,18800000
Girls shoes,18800000
Infants shoes,18800000
Mens slippers,18800000
Womens slippers,18800000
Boys slippers,18800000
Girls slippers,18800000
Infants slippers,18800000
Mens sandals,18800000
Womens sandals,18800000
Boys sandals,18800000
Girls sandals,18800000
Infants sandals,18800000
Mens athletic footwear,18820000
Womens athletic footwear,18820000
Boys athletic footwear,18820000
Girls athletic footwear,18820000
Infants athletic footwear,18820000
Shoehorns,18820000
Shoelaces,18820000
Heel pads,18843000
Shoe stretcher,18843000
Foot measuring device,18800000
Mens overshoes,18800000
Womens overshoes,18800000
Boys overshoes,18800000
Girls overshoes,18800000
Infants overshoes,18800000
Garment bags,18300000
Luggage sets,18920000
Individual luggage pieces,18920000
Handbags or purses,18939000
Duffel bags,18900000
Backpacks,18900000
Coin purses,18900000
Lipstick cases,18920000
Cigar case,18920000
Shopping bags,18900000
Briefcases,18900000
Attaches,18900000
Portfolios,18900000
Equipment cases,18900000
Computer bags,18900000
Travel kits,18931000
Travel carts,18931000
Garment brushes,18300000
Makeup or manicure cases,18920000
Mouthwash,33711740
Toothpaste,33711720
Toothbrushes,33711710
Dental floss,33711760
Infant soother or pacifier or dummy,33711770
Dental kits,33711790
Toothpicks,33711730
Denture cleaning tablets,33711780
Mouth fresheners,33711750
Denture adhesive,33138100
Shower caps,33711530
Hair care supplies,33700000
Razors,33721000
Hair combs or brushes,33711620
Vanity kits,33711640
Deodorants,33711110
Hand or body lotion or oil,33741200
Soaps,33711900
Sun protection products,33711510
Eye care supplies,33730000
Shaving creams,33711810
Bath gels,33711520
Skin care products,33711500
Foot care products,33713000
Feminine hygiene products,33700000
Para pharmaceutical creams or lotions,33711540
Manicure implements,33711300#33722000
Pedicure implements,33711300#33722000
Cosmetics,33700000
Perfumes or colognes or fragrances,33710000#33711130#33711140
Nail clippers,33742100
Condoms,33712000
Hair removal or depilatory products,39700000
Disposable personal wipes,33711430
Hair or beard nets,33700000
Hand sanitizer,33741300
Hand cleaner,33741100
Shampoos,33711610
Makeup kits,33711420
Lip balm,33711440
Tattoos,33711450
Hot rollers,33700000
Barrettes,33722300
Chemical protection products,35113410
Shaving brushes,33711800#33711810
Rose water,33711150
Nursing pads,33752000
Nail polish,33742200
Urinary incontinence pad,33640000
Nail polish remover,33742000
Petroleum jelly,09221100
Barber and salon hair cutting gown or cape,18200000
Electric hair clipper,39712100
Hand held massaging unit,39710000#39700000
Straight pins,18400000#30100000
Safety pins,18452000
Zippers,18450000
Buckles,18450000
Buttons,18451000
Snaps,18450000
Clasps,44522100
Garment rivet,18300000
Pin cushions,18452000
Sewing kits,19435000#39227000
Thimbles,39227200
Sewing patterns,39227000
Sewing needles,39227110
Bobbins or bobbin holders,39226300
Seam gauge,39227000
Bodkin,39227000
Loop turner,39227000
Fabric or tailors chalk holders,37533200#39227000
Fabric markers or fabric pencils or fabric chalk,30192125#37822300
Serrated pattern tracing wheel,37820000#37823200
Transfer paper,37823000
Tapestry needles,39227000
Weaving needles,39227000
Looper looms,37000000
Cotton jersey loops,19212000
Needlepoint canvas,19212300
Magnet wands,30100000
Seam ripper,30192700
Needle threader,39227000
Dressmakers ruler,39292500
Liquid thread lock or reinforcer,30192700
Cross stitch fabric or needles,39227000
Cross stitch designs,30192700
Embroidery hoops,30192700
Crochet hooks,39265000
